,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
1,Afghanistan,NA,NA,102,113,77,58,12,,,,1335.6,,26,158,35.3,24.5,41.2,250,-2.69,,5,29,44.4,28,,,,44.4,42.4,,,,,
2,Albania,6.3,1,119,341,41,99,50,,,1.5,8643.8,6.12,<5.0,,,41.7,55.2,43,-0.03,10.8,6.9,29,95.8,89.6,,,,22.9,22.3,11.2,7.3,27,2,17.1
3,Algeria,6,1,132,163,58,85,22,73.5,4.7,0.1,12697.6,4.94,5.6,40,10.4,69.9,14.7,10,-1.09,11.5,11.4,27,86.6,86.1,,,,32.5,32.4,7,4,15.9,3.4,12.2
4,Angola,29.5,3,112,172,60,52,16,,,,,6.47,23.1,149,30.8,55.2,2.2,4,-0.35,5.6,4.7,6,46.6,43.3,,,,49.6,59,34.2,8.2,29.2,20.4.9,45.3
5,Argentina,4.9,0,130,961,36,99,64,,,1.3,,,<5.0,10,<5.0,-205.7,6,2,-0.07,,52.2,54,97.9,94.2,,,,28.4,18.3,1.9,1.2,8.2,1.7,4.9
6,Armenia,10.2,2,116,325,44,85,39,,26.1,2.8,7388.6,9.22,6.1,43,13.3,55.2,61,50,-0.02,15,29.8,85,97.3,89.5,,,,26.5,31,10.9,4.9.4.9,18.2,2.3,14.1
7,Azerbaijan,10.4,2,121,244,65,87,26,54.7,21.8,2.4,14365,,<5.0,23,8.2,37.2,76.2,3,-0.33,,7.3,45,81,78.4,,,,32,37.1,3.7,6.8,26.8,4.9.2,16.7
8,Bahrain,NA,NA,,21,,,,81.5,518.7,,42516.7,2.05,,,,,100,5,-0.24,17.6,2.4,,100,99.2,,,,35.6,32.6,,,,,
9,Bangladesh,25.2,3,107,132,81,54,9,,,1.9,2260.6,8.34,17.2,119,26.7,8.9,65.5,21,-1.48,9.9,3.7,23,82,53.8,,,,48.6,57.6,17.1,11.8,45.9,6.7,31
10,Belarus,4.9,0,127,569,38,92,52,86.7,41.3,2.6,14487.8,4.57,<5.0,,,3.3,2.1,6,0.5,9,18.1,154,99.6,94.5,,,,25,25.4,3,2.2,4.4.9,0.9,4.9
11,Benin,15.1,2,118,187,71,62,11,,,0.7,1784.5,7.67,12.5,80,18.9,26.9,0.9,38,0.33,24.8,14.7,49,72.8,16.2,,,,66.8,73.8,15.9,8.4,44.7,11.9,33.3
12,Bhutan,NA,NA,,192,,,,48.6,14,,5640.1,4.62,,,,,30.2,10,0.75,,31.2,,93.8,43.6,4.7,34.9,10.4,47.4,58.1,0,6,41.4,4.9.9,0
13,"Bolivia, Plurinational State of",11.7,2,98,307,52,63,29,7.9,7.4,0.3,5191.1,5.64,28,190,40.1,18.8,7,6,-0.71,78.4,7.2,33,85.4,44.9,1.4,27.2,4.5,36.9,55.6,31.1,1.7,32.4.9,4.9.8,27.2
14,Bosnia and Herzegovina,4.9,0,123,240,50,90,31,,,2,9336.7,4.97,<5.0,,,34.3,0.3,26,-0.51,7.7,15.8,,98.8,94.8,,,,27.4,27.1,2.4.9,4,11.8,0.8,6.8
15,Botswana,17.9,2,94,133,49,62,24,,,0.2,13617.8,3.01,31.8,239,44.6,84.7,0.6,11,0.98,10.2,5.1,34,95.7,58.9,,,,32.9,42.2,32.8,8,29.2,6.4,31.2
16,Brazil,4.9,0,132,631,34,90,47,12.2,18.8,0.4,13691.2,2.36,<5.0,17,5.8,-0.2,7.4,3,-0.29,7.2,9.6,29,96.2,79.4,,,,32.8,21.5,4.7,1.6,7.1,2.3,6.7
17,Bulgaria,4.9,0,110,375,42,81,39,,17.5,3.7,15719.8,3.31,<5.0,,,-75,3.2,9,0.35,10.2,42.7,26,99.6,85.9,,,,26.4,27.1,9.1,3.2,8.8,1.6,9.2
